rank,title,articleTitle,year,wikipediaUrl,popularityScore,monthlyAverageViews,materialConfidence,materialSignals
186,Theseus and the Minotaur,Theseus and the Minotaur (sculpture),1781,https://en.wikipedia.org/wiki/Theseus_and_the_Minotaur_(sculpture),0,0,unknown,
187,Jockey of Artemision,Jockey of Artemision,-149,https://en.wikipedia.org/wiki/Jockey_of_Artemision,0,0,unknown,
188,Venus Tauride,Venus Tauride,-200,https://en.wikipedia.org/wiki/Venus_Tauride,0,0,unknown,
189,"Holy Trinity Monument, Timişoara","Plague Column, Timișoara",1740,https://en.wikipedia.org/wiki/Plague_Column%2C_Timi%C8%99oara,0,0,unknown,
190,Peace Monument,Peace Monument,1877,https://en.wikipedia.org/wiki/Peace_Monument,0,0,unknown,
191,Madonna of the Stair,Madonna of the Stairs,1490,https://en.wikipedia.org/wiki/Madonna_of_the_Stairs,0,0,unknown,
192,Princesses Monument,Princesses Monument,1795,https://en.wikipedia.org/wiki/Princesses_Monument,0,0,unknown,
193,Sarcophagus of the Spouses,Sarcophagus of the Spouses,-520,https://en.wikipedia.org/wiki/Sarcophagus_of_the_Spouses,0,0,unknown,
194,Ludovisi Gaul,Ludovisi Gaul,-230,https://en.wikipedia.org/wiki/Ludovisi_Gaul,0,0,unknown,
195,Night,Night (Michelangelo),1526,https://en.wikipedia.org/wiki/Night_(Michelangelo),0,0,unknown,
196,Monument to Giuseppe Garibaldi,Monument to Garibaldi (Rome),1895,https://en.wikipedia.org/wiki/Monument_to_Garibaldi_(Rome),0,0,unknown,
197,Patrizio Torlonia,Patrician Torlonia,-80,https://en.wikipedia.org/wiki/Patrician_Torlonia,0,0,unknown,
198,Monument to Philip IV of Spain,Monument to Philip IV of Spain,1640,https://en.wikipedia.org/wiki/Monument_to_Philip_IV_of_Spain,0,0,unknown,
199,Latona Fountain,Latona Fountain,1666,https://en.wikipedia.org/wiki/Latona_Fountain,0,0,unknown,
200,Crouching Venus,Aphrodite of Rhodes,1,https://en.wikipedia.org/wiki/Aphrodite_of_Rhodes,0,0,unknown,
201,Farnese Diadumenos,Farnese Diadumenos,100,https://en.wikipedia.org/wiki/Farnese_Diadumenos,0,0,unknown,
202,Pioneer Monument,Pioneer Monument (San Francisco),1894,https://en.wikipedia.org/wiki/Pioneer_Monument_(San_Francisco),0,0,unknown,
203,Sleeping Lion,"Sleeping Lion, Bytom",1873,https://en.wikipedia.org/wiki/Sleeping_Lion%2C_Bytom,0,0,unknown,
204,Hera Farnese,Hera Farnese,100,https://en.wikipedia.org/wiki/Hera_Farnese,0,0,unknown,
205,Palestrina Pietà,Palestrina Pietà,1550,https://en.wikipedia.org/wiki/Palestrina_Piet%C3%A0,0,0,unknown,
206,Beautiful Virgin Mary from Krużlowa,Beautiful Virgin Mary from Krużlowa,1400,https://en.wikipedia.org/wiki/Beautiful_Virgin_Mary_from_Kru%C5%BClowa,0,0,unknown,
207,Sculpture of a horse (Olympia B 1741),Sculpture of a horse (Olympia B 1741),-700,https://en.wikipedia.org/wiki/Sculpture_of_a_horse_(Olympia_B_1741),0,0,unknown,
208,Head of a Faun,Head of a Faun,1489,https://en.wikipedia.org/wiki/Head_of_a_Faun,0,0,unknown,
209,Lansdowne Heracles,Lansdowne Heracles,125,https://en.wikipedia.org/wiki/Lansdowne_Heracles,0,0,unknown,
210,Landon-Era Birdbath,Landon-Era Birdbath,1900,https://en.wikipedia.org/wiki/Landon-Era_Birdbath,0,0,unknown,
211,"Leif, the Discoverer","Leif, the Discoverer (Whitney)",1887,https://en.wikipedia.org/wiki/Leif%2C_the_Discoverer_(Whitney),0,0,unknown,
212,Liberty Arming the Patriot,Liberty Arming the Patriot,1897,https://en.wikipedia.org/wiki/Liberty_Arming_the_Patriot,0,0,unknown,
213,Lion of Venice,Lion of Venice,-300,https://en.wikipedia.org/wiki/Lion_of_Venice,0,0,unknown,
214,Lieutenant General George Washington,Equestrian statue of George Washington (Washington Circle),1860,https://en.wikipedia.org/wiki/Equestrian_statue_of_George_Washington_(Washington_Circle),0,0,unknown,
