rank,uid,title,creator,estimatedArtist,estimatedPeriod,faceCount,vertexCount,likeCount,viewCount,commentCount,archiveTypes,viewerUrl,publishedAt
64,bcbee3da51a347709f5b53a81bd7f2b9,Lincoln Memorial Sketch Model,jerryfisher,,renaissance,250000,138778,47,3276,3,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-bcbee3da51a347709f5b53a81bd7f2b9,2020-05-28T04:32:51.197492
65,f8db201b53414d6ea9f1b008ff47e889,Discus throwing the disc_Restored,Digital_Restoration,canova,,499418,382289,58,2218,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-f8db201b53414d6ea9f1b008ff47e889,2021-07-19T10:17:15.078253
66,469c2ed7b2ea4edcb75dfeac20e7ea0c,Moses by Michelangelo Head,jerryfisher,michelangelo,renaissance,1965439,1282492,57,1586,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-469c2ed7b2ea4edcb75dfeac20e7ea0c,2015-06-27T01:18:56
67,f3f1e758c35844b1ad1007a57ac8a61d,1944.129 Young Satyr and Satyress,Cleveland Museum of Art,clodion,,90000,270000,60,771,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-f3f1e758c35844b1ad1007a57ac8a61d,2023-01-30T21:45:55.033296
68,d43a98d302f04117a20e1148199a5cd3,1800s Male Busts Type A,Mad_Lobster_Workshop,,,60582,33411,56,1055,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-d43a98d302f04117a20e1148199a5cd3,2024-02-18T18:51:53.413146
69,3975835d31634f1ca1027aa82836aba7,Kala Bhairava w/ 2 LOD - Nepal Heritage,3Dystopia,,,7482,7981,49,1783,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-3975835d31634f1ca1027aa82836aba7,2021-07-23T14:39:51.993817
70,26ba45797d4645f88f15a916de5e9236,"Togaed statue, Tarraco (Tarragona, Spain)",Global Digital Heritage and GDH-Afrika,,,1299770,880322,48,1446,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-26ba45797d4645f88f15a916de5e9236,2020-01-18T19:44:54.645053
71,mCJRjiRMWgbfGA5jhrzEdQyC11,Rodin - Eve,PANOLUMA,rodin,,49924,30156,47,1551,2,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-mCJRjiRMWgbfGA5jhrzEdQyC11,2013-07-12T23:50:46
72,50b1ff8b18214278b1445047d8622c29,The Solitude of the Soul by Lorado Taft,SBCVL_UCSF,lorado taft,neoclassic,999956,623460,50,1129,2,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-50b1ff8b18214278b1445047d8622c29,2018-10-17T00:23:37.772789
73,36be441d9e684388a4b312d5198716cc,St John,Geoffrey Marchal,,renaissance,176961,109341,51,967,4,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-36be441d9e684388a4b312d5198716cc,2015-05-03T22:21:50
74,46f45cac4db346f2ab8c968e83801870,"La Petite Landaise, buste de Robert Wlérick","Alienor.org, Conseil des musées",donatello,,3124136,1914708,51,1016,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-46f45cac4db346f2ab8c968e83801870,2020-05-28T11:23:24.113417
75,2067673ca6e54b2896146c3809c5f592,Jesus Christ and the Cross – conservation,matousekfoto,,19th century,74986,65103,41,2031,1,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-2067673ca6e54b2896146c3809c5f592,2020-10-24T11:22:45.974553
76,ebfa0d8c7f1b4a72a8ac9fe51af48761,Bust l - Uffizi Gallery,VIMUNE,,renaissance,382554,300241,46,1453,0,glb|gltf|source|usdz,https://sketchfab.com/3d-models/none-ebfa0d8c7f1b4a72a8ac9fe51af48761,2022-04-09T14:46:20.114516
